Alter;INT_Z90;INT_Z80;INT_ZPro;INT_Z90_Zpro;INT_Z80_Zpro;BAY_Zahn_Prestige;BAY_Zahn_Komfort;BAY_Zahn_Smart;DKV_KDTP100;DKV_KDT85;DKV_KDBE;DKV_KDTP100_KDBE;DKV_KDTP85_KDBE;HAL_dentZE.100;HAL_dentZE.90;HAL_dentZB.100;HAL_dentPRO.80;HAL_dentZE.100_dentZB.100_dentPRO80;HAL_dentZE.100_dentZB.100;HAL_dentZE.90_dentZB.100_dentPRO80;HAL_dentZE.90_dentZB.100;ARA_Dent100;ARA_Dent90P;ARA_Dent90;ARA_Dent70;ALL_DentalBest;ALL_DentalPlus;DFV_Exklusiv;DFV_Premium;GTH_MediZ_Premium;GTH_MediZ_Plus;GTH_Medi_Prophy;GTH_MediZ_Premium_Medi_Prophy;GTH_MediZ_Plus_Medi_Prophy;UKV_Zahnprivat_Premium
20;6,9;5,31;3,4;10,3;8,71;18,6;16,3;7,5;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;22,25;17,78;13,48;10,77;15,56;12,11;37;33;11,87;1,67;5,1;16,97;6,77;16,64
21;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
22;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
23;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
24;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
25;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
26;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
27;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
28;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
29;9;6,75;9,83;18,83;16,58;25;21,5;14,3;16,11;5,92;9,84;25,95;15,76;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;16,64
30;9;6,75;9,83;18,83;16,58;25;21,5;14,3;24,81;13,72;9,84;34,65;23,56;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;23,5;21,5;13;4,39;10,45;23,45;14,84;26,85
31;9;6,75;9,83;18,83;16,58;32,6;21,5;14,3;24,81;13,72;9,84;34,65;23,56;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;34,5;32;18;8,07;10,45;28,45;18,52;26,85
32;9;6,75;9,83;18,83;16,58;32,6;21,5;14,3;24,81;13,72;9,84;34,65;23,56;13;8;4,1;6,8;23,9;17,1;18,9;12,1;37,36;20,47;18,43;11,19;21,92;14,68;34,5;32;18;8,07;11,45;29,45;19,52;26,85
33;9;6,75;9,83;18,83;16,58;32,6;21,5;14,3;24,81;13,72;9,84;34,65;23,56;18,4;11,4;4,1;7,4;29,9;22,5;22,9;15,5;37,36;20,47;18,43;11,19;21,92;14,68;34,5;32;18;8,07;11,45;29,45;19,52;26,85
34;9;6,75;9,83;18,83;16,58;32,6;21,5;14,3;24,81;13,72;9,84;34,65;23,56;18,4;11,4;4,1;7,4;29,9;22,5;22,9;15,5;37,36;29,33;25,99;16,18;21,92;14,68;34,5;32;18;8,07;11,45;29,45;19,52;26,85
35;9;6,75;9,83;18,83;16,58;32,6;21,5;14,3;24,81;13,72;9,84;34,65;23,56;18,4;11,4;4,1;7,4;29,9;22,5;22,9;15,5;37,36;29,33;25,99;16,18;21,92;14,68;34,5;32;18;8,07;11,45;29,45;19,52;26,85
36;9;6,75;9,83;18,83;16,58;32,6;28,2;18,5;24,81;13,72;9,84;34,65;23,56;18,4;11,4;4,1;7,4;29,9;22,5;22,9;15,5;37,36;29,33;25,99;16,18;21,92;14,68;34,5;32;18;8,07;11,45;29,45;19,52;26,85
