titel;lage;miete;groesse;preis_qm;long;lati;pricecat
Schnuckeliges 2 Zimmer Haus mit Terrasse;Bretzenheim, Mainz;780;73;10,68493151;8,244128;49,981758;10 bis 12 Euro pro Quadratmeter
Schöne zwei Zimmer Wohnung in Mainz, Gonsenheim;Gonsenheim, Mainz;640;64;10;8,2039952;50,0016764;10 bis 12 Euro pro Quadratmeter
Helle Einraumwohnung mit Sonnenterrassennutzung mitten in der City;Altstadt, Mainz;520;44;11,81818182;8,269193;49,9987651;10 bis 12 Euro pro Quadratmeter
Ruhige Traum Wohnung mit Luxusausstattung und Loggia im 3.OG Zollhafen.... Erstbezug;Neustadt, Mainz;1750;119;14,70588235;8,2582859;50,0099123;12 bis 15 Euro pro Quadratmeter
"Studenten aufgepasst "" Super WG. geeignete 2 Zimmerwohnung mit Gartennutzung";Gonsenheim, Mainz;675;61;11,06557377;8,2039952;50,0016764;10 bis 12 Euro pro Quadratmeter
Schöne zwei Zimmer Wohnung in Mainz, Oberstadt;Oberstadt, Mainz;690;60;11,5;8,2650536;49,9897898;10 bis 12 Euro pro Quadratmeter
Helles Studio Apartment, top saniert, möbliert & zentral;Kaiserstr, Neustadt, Mainz;650;40;16,25;8,2647432;50,0058567;15 bis 20 Euro pro Quadratmeter
Hochwertige Wohnung mit Blick ins Grüne in Haus mit vier Parteien in Mainz-Bretzenheim;Bretzenheim, Mainz;1100;92;11,95652174;8,244128;49,981758;10 bis 12 Euro pro Quadratmeter
Für Stadtliebhaber!Gepflegtes Aparment mit Einbauküche,Gemeinschaftsdachterrasse & Tiefgarage.;Klarastraße, Altstadt, Mainz;500;38;13,15789474;8,2686657;50,001857;12 bis 15 Euro pro Quadratmeter
Attraktive, helle 2 Zimmer Wohnung mit 2 Balkone und Einbauküche;Hartenberg/Münchfeld, Mainz;780;83;9,397590361;8,238504;49,99915;8 bis 10 Euro pro Quadratmeter
Schön möbliertes 1-Zi. Appartement in Mainz, Hartenberg/Münchfeld;Richard Schirrmann Str., Hartenberg/Münchfeld, Mainz;350;22;15,90909091;8,2251231;49,9971039;15 bis 20 Euro pro Quadratmeter
In einem wunderschönen Neubauhaus, schöne 2KB, Einbauküche, Terrasse, Mainz-Neustadt;Zollhafen, Neustadt, Mainz;950;70;13,57142857;8,2632516;50,0124836;12 bis 15 Euro pro Quadratmeter
Wohnen im Grünen, stadtnah!;Katzenberg, Finthen, Mainz;500;61;8,196721311;8,183757;49,9890497;8 bis 10 Euro pro Quadratmeter
1.390 €, 92 m², 3 Zimmer;An der Karlsschanze, Oberstadt, Mainz;1390;92;15,10869565;8,2823662;49,9902289;15 bis 20 Euro pro Quadratmeter
Helle sonnige Dachgeschoßwohnung im Zweifamilienhaus in Mainz-Laubenheim;Enggäßchen, Laubenheim, Mainz;690;65;10,61538462;8,3120426;49,9654368;10 bis 12 Euro pro Quadratmeter
Schöne drei Zimmer Wohnung in Mainz, Altstadt;Walpodenstr., Altstadt, Mainz;690;60;11,5;8,2639496;49,9981801;10 bis 12 Euro pro Quadratmeter
schöne helle 7-Zimme-Altbauwohnung, geeignet für Arbeiten u. Wohnen;Kaiserstraße, Altstadt, Mainz;1800;180;10;8,2647432;50,0058567;10 bis 12 Euro pro Quadratmeter
Mainz-Mombach, sehr schönes helles Souterrain-Appartement;An der Brunnenstube 15/6, Mombach, Mainz;376;28;13,42857143;8,2299281;50,0151745;12 bis 15 Euro pro Quadratmeter
1-Zimmer Appartment  - Nähe Uniklinik;Untere Zahlbacher Straße, Oberstadt, Mainz;350;30;11,66666667;8,2519437;49,9931282;10 bis 12 Euro pro Quadratmeter
Schöne, geräumige drei Zimmer Wohnung in Mainz, Ebersheim;Ebersheim, Mainz;840;98;8,571428571;8,2480897;49,9144711;8 bis 10 Euro pro Quadratmeter
Wunderschön und ruhig gelegene 2-Zimmerwohnung mit Fußbodenheizung und Freibad!                     ;Im Münchfeld, Hartenberg/Münchfeld, Mainz;535;61;8,770491803;8,238504;49,99915;8 bis 10 Euro pro Quadratmeter
Moderne, lichtdurchflutete Maisonette Wohnung in Mainz Gonsenheim;Gonsenheim, Mainz;1240;129;9,612403101;8,2039952;50,0016764;8 bis 10 Euro pro Quadratmeter
Schöne zwei Zimmer Wohnung in Mainz, Altstadt;Dominikaner Str 8, Altstadt, Mainz;630;59;10,6779661;8,27002;49,99904;10 bis 12 Euro pro Quadratmeter
2 Zi. App. Souterrain, Duschbad;Im Brühl 1, Laubenheim, Mainz;350;35;10;8,3116233;49,9606474;10 bis 12 Euro pro Quadratmeter
Studenten gern gesehen 3ZKBB WG geeignet in der Neustadt (6R);Neustadt, Mainz;960;70;13,71428571;8,2582859;50,0099123;12 bis 15 Euro pro Quadratmeter
Studenten gern gesehen 3ZKBB WG geeignet in der Neustadt (6L);Neustadt, Mainz;960;70;13,71428571;8,2582859;50,0099123;12 bis 15 Euro pro Quadratmeter
1 Zimmer in 5er WG mit Balkon 2.OG;Neustadt, Mainz;250;35;7,142857143;8,2582859;50,0099123;6 bis 8 Euro pro Quadratmeter
Schöne, geräumige Einzimmer Wohnung in Mainz, Oberstadt;Generaloberst-Beck-Straße, Oberstadt, Mainz;380;40;9,5;8,2667887;49,9763353;8 bis 10 Euro pro Quadratmeter
Schöne ein Zimmer Wohnung in Mainz, Laubenheim;Rüsselsheimer Allee, Laubenheim, Mainz;521;46;11,32608696;8,3248592;49,9635642;10 bis 12 Euro pro Quadratmeter
3,0 Zi, K, Bad, gemütliche DGwohnung im Grünen, sehr ruhig;Tiergarten, Mombach, Mainz;780;80;9,75;8,2029379;50,0063545;8 bis 10 Euro pro Quadratmeter
Schöne 2,5 Zimmer Dachgeschosswohnung mit Giebelzimmer in Mainz-Weisenau;Weisenau, Mainz;455;55;8,272727273;8,2964095;49,9814465;8 bis 10 Euro pro Quadratmeter
Ruhige Feldrandlage;Hechtsheim, Mainz;620;68;9,117647059;8,2674162;49,9592577;8 bis 10 Euro pro Quadratmeter
Attraktive, ruhige 1,5 Zimmer Wohnung in Mainz-Finthen;Katzenberg 7, Finthen, Mainz;510;42;12,14285714;8,1822113;49,9858893;12 bis 15 Euro pro Quadratmeter
Der Sommer kann kommen – Penthouse mit Dachterrasse;Hartenberg/Münchfeld, Mainz;1850;129;14,34108527;8,238504;49,99915;12 bis 15 Euro pro Quadratmeter
Ein Zuhause, das glücklich macht;Hartenberg/Münchfeld, Mainz;790;59;13,38983051;8,238504;49,99915;12 bis 15 Euro pro Quadratmeter
Erster Eindruck – unsere Musterwohnung verschafft Ihnen diesen;Hartenberg/Münchfeld, Mainz;1450;113;12,83185841;8,238504;49,99915;12 bis 15 Euro pro Quadratmeter
Mainz für Genießer - Ihr neues Zuhause;Hartenberg/Münchfeld, Mainz;1650;129;12,79069767;8,238504;49,99915;12 bis 15 Euro pro Quadratmeter
Finden Sie Ihr Glück – Ihre 3-Zimmerwohnung;Hartenberg/Münchfeld, Mainz;1150;88;13,06818182;8,238504;49,99915;12 bis 15 Euro pro Quadratmeter
Exklusives Penthouse mit phantastischem Fernblick in unmittelbarer Bahnhofsnähe - Erstbezug;Hartenberg/Münchfeld, Mainz;1990;116;17,15517241;8,238504;49,99915;15 bis 20 Euro pro Quadratmeter
***BITTE um Zusendung einer Emailanfrage!! Hochwertige Neubauwohnung! SCHNÄPPCHEN!!***;Bretzenheim, Mainz;1050;94;11,17021277;8,244128;49,981758;10 bis 12 Euro pro Quadratmeter
