Gebietsschlüssel;Gebietsbezeichnung;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §19;Wähler;Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode Wahlbeteiligung;ungültige Erststimmen;gültige Erststimmen;ungültige Erststimmen in %;gültige Erstsstimmen in %;SPD Erststimmen;CDU Erststimmen;FDP Erststimmen;GRÜNE Erststimmen;Linke Erststimmen;REP Erststimmen;NPD Erststimmen;ödp Erststimmen;BüSo Erststimmen;ddp Erststimmen;FREIE WÄHLER Erststimmen;PIRATEN Erststimmen;Jansen Erststimmen;PBC Erststimmen;parteiunabhängig Erststimmen;Sonstige Erststimmen;;;;;;;;;;SPD Erststimmen in %;CDU Erststimmen in %;FDP Erststimmen in %;GRÜNE Erststimmen in %;Linke Erststimmen in %;REP Erststimmen in %;NPD Erststimmen in %;ödp Erststimmen in %;BüSo Erststimmen in %;ddp Erststimmen in %;FREIE WÄHLER Erststimmen in %;PIRATEN Erststimmen in %;Jansen Erststimmen in %;PBC Erststimmen in %;parteiunabhängig Erststimmen in %;Sonstige Erststimmen in %;;;;;;;;;;ungültige Zweitstimmen;gültige Zweitstimmen;ungültige Zweitstimmen in %;gültige Zweitstimmen in %;SPD Zweitstimmen;CDU Zweitstimmen;FDP Zweitstimmen;GRÜNE Zweitstimmen;Linke Zweitstimmen;REP Zweitstimmen;NPD Zweitstimmen;ödp Zweitstimmen;BüSo Zweitstimmen;ddp Zweitstimmen;FREIE WÄHLER Zweitstimmen;PIRATEN Zweitstimmen;Jansen Zweitstimmen;PBC Zweitstimmen;parteiunabhängig Zweitstimmen;Sonstige Zweitstimmen;;;;;;;;;;SPD Zweitstimmen in %;CDU Zweitstimmen in %;FDP Zweitstimmen in %;GRÜNE Zweitstimmen in %;Linke Zweitstimmen in %;REP Zweitstimmen in %;NPD Zweitstimmen in %;ödp Zweitstimmen in %;BüSo Zweitstimmen in %;ddp Zweitstimmen in %;FREIE WÄHLER Zweitstimmen in %;PIRATEN Zweitstimmen in %;Jansen Zweitstimmen in %;PBC Zweitstimmen in %;parteiunabhängig Zweitstimmen in %;Sonstige Zweitstimmen in %;;;;;;;;;;Gewählter Direktkandidat;Partei des Direktkandidaten;Anzahl Stimmbezirke;Anzahl ausgezählter Stimmbezirke;Zeitpunkt der letzten Änderung
0;Landesergebnis Rheinland-Pfalz;3088199;2605981;482180;38;1908734;458138;61,8;2;53598;1855136;2,8;97,2;699572;684065;82340;263703;60044;7646;7282;4706;183;;35360;8806;413;279;737;;;;;;;;;;;37,7;36,9;4,4;14,2;3,2;0,4;0,4;0,3;0;;1,9;0,5;0;0;0;;;;;;;;;;;40547;1868187;2,1;97,9;666817;658474;79343;288489;56054;15600;20586;6997;1504;1656;43348;29319;;;;;;;;;;;;;;35,7;35,2;4,2;15,4;3;0,8;1,1;0,4;0,1;0,1;2,3;1,6;;;;;;;;;;;;;;;;4866;4866;01.04.2011 09:15
1110000000;Koblenz, Kreisfreie Stadt;82456;66763;15693;0;47940;14942;58,1;2;1409;46531;2,9;97,1;14258;15908;3256;9749;410;;;;;;2950;;;;;;;;;;;;;;;30,6;34,2;7;21;0,9;;;;;;6,3;;;;;;;;;;;;;;;784;47156;1,6;98,4;14058;16712;2600;8863;1616;177;357;157;42;42;1664;868;;;;;;;;;;;;;;29,8;35,4;5,5;18,8;3,4;0,4;0,8;0,3;0,1;0,1;3,5;1,8;;;;;;;;;;;;;;;;148;148;30.03.2011 07:15
1310000000;Ahrweiler, Landkreis;100006;84017;15988;1;61530;12182;61,5;2;1620;59910;2,6;97,4;16135;27418;4203;10278;1876;;;;;;;;;;;;;;;;;;;;;26,9;45,8;7;17,2;3,1;;;;;;;;;;;;;;;;;;;;;1095;60435;1,8;98,2;16099;27002;2879;10134;1552;230;579;257;39;55;903;706;;;;;;;;;;;;;;26,6;44,7;4,8;16,8;2,6;0,4;1;0,4;0,1;0,1;1,5;1,2;;;;;;;;;;;;;;;;155;155;01.04.2011 09:15
1320000000;Altenkirchen, Landkreis;102523;89384;13136;3;59084;12084;57,6;2;1632;57452;2,8;97,2;20882;23773;3077;7275;2445;;;;;;;;;;;;;;;;;;;;;36,3;41,4;5,4;12,7;4,3;;;;;;;;;;;;;;;;;;;;;1165;57919;2;98;19256;23181;2586;8356;2056;294;669;138;57;47;666;613;;;;;;;;;;;;;;33,2;40;4,5;14,4;3,5;0,5;1,2;0,2;0,1;0,1;1,1;1,1;;;;;;;;;;;;;;;;176;176;29.03.2011 10:02
1330000000;Bad Kreuznach, Landkreis;121239;102774;18464;1;77547;17603;64;2;1982;75565;2,6;97,4;30524;30193;2729;9533;2586;;;;;;;;;;;;;;;;;;;;;40,4;40;3,6;12,6;3,4;;;;;;;;;;;;;;;;;;;;;1528;76019;2;98;30222;27316;3288;10018;2060;330;724;208;41;31;854;927;;;;;;;;;;;;;;39,8;35,9;4,3;13,2;2,7;0,4;1;0,3;0,1;0;1,1;1,2;;;;;;;;;;;;;;;;181;181;31.03.2011 09:14
1340000000;Birkenfeld, Landkreis;67800;60730;7070;0;37734;6708;55,7;2;933;36801;2,5;97,5;15072;12790;1821;4761;1944;;;;;;;;413;;;;;;;;;;;;;41;34,8;4,9;12,9;5,3;;;;;;;;1,1;;;;;;;;;;;;;663;37071;1,8;98,2;14768;13999;1332;4077;1583;172;369;64;27;44;315;321;;;;;;;;;;;;;;39,8;37,8;3,6;11;4,3;0,5;1;0,2;0,1;0,1;0,8;0,9;;;;;;;;;;;;;;;;147;147;29.03.2011 11:25
1350000000;Cochem-Zell, Landkreis;51611;45234;6377;0;33456;6068;64,8;2;1158;32298;3,5;96,5;9615;16900;1596;3250;937;;;;;;;;;;;;;;;;;;;;;29,8;52,3;4,9;10,1;2,9;;;;;;;;;;;;;;;;;;;;;892;32564;2,7;97,3;9920;15427;1590;3470;737;122;241;98;24;28;557;350;;;;;;;;;;;;;;30,5;47,4;4,9;10,7;2,3;0,4;0,7;0,3;0,1;0,1;1,7;1,1;;;;;;;;;;;;;;;;113;113;30.03.2011 13:33
1370000000;Mayen-Koblenz, Landkreis;166512;141943;24568;1;99419;23284;59,7;2;2525;96894;2,5;97,5;33709;42977;3622;12573;3028;299;;686;;;;;;;;;;;;;;;;;;34,8;44,4;3,7;13;3,1;0,3;;0,7;;;;;;;;;;;;;;;;;;1742;97677;1,8;98,2;32937;40085;4068;13622;2475;410;741;429;55;74;1558;1223;;;;;;;;;;;;;;33,7;41;4,2;13,9;2,5;0,4;0,8;0,4;0,1;0,1;1,6;1,3;;;;;;;;;;;;;;;;232;232;29.03.2011 16:27
1380000000;Neuwied, Landkreis;138475;116377;22097;1;82696;21082;59,7;2;2221;80475;2,7;97,3;31920;30410;3276;10414;2513;;;;;;1205;;;;737;;;;;;;;;;;39,7;37,8;4,1;12,9;3,1;;;;;;1,5;;;;0,9;;;;;;;;;;;1616;81080;2;98;28814;30253;3379;12374;2206;406;712;233;77;56;1528;1042;;;;;;;;;;;;;;35,5;37,3;4,2;15,3;2,7;0,5;0,9;0,3;0,1;0,1;1,9;1,3;;;;;;;;;;;;;;;;196;196;31.03.2011 09:00
1400000000;Rhein-Hunsrück-Kreis, Landkreis;81173;70370;10803;0;52300;10241;64,4;2;1553;50747;3;97;18413;20843;2993;6235;1680;;;;;;304;;;279;;;;;;;;;;;;36,3;41,1;5,9;12,3;3,3;;;;;;0,6;;;0,5;;;;;;;;;;;;1243;51057;2,4;97,6;17479;19423;3016;7201;1422;233;437;194;38;52;946;616;;;;;;;;;;;;;;34,2;38;5,9;14,1;2,8;0,5;0,9;0,4;0,1;0,1;1,9;1,2;;;;;;;;;;;;;;;;193;193;31.03.2011 09:04
