titel;lage;miete;groesse;preis_qm;long;lati;pricecat
SCHÖNE EINLIEGERWOHNUNG in RUHIGER,STADTNAHER LAGE ( WI-SONNENBERG/EIGENHEIM);Sonnenberg, Wiesbaden;900;57;15,78947368;8,2580588;50,0974413;15 bis 20 Euro pro Quadratmeter
1-Zimmer-Wohnung Wiesbaden, sehr zentrale Lage;Schiersteiner Str., Südost, Wiesbaden;700;22;31,81818182;8,2258954;50,0695362;mehr als 20 Euro pro Quadratmeter
Schöne zwei Zimmer Penthouse- Wohnung in Wiesbaden, Dotzheim;Greifstraße 7 a, Dotzheim, Wiesbaden;650;63;10,31746032;8,18893;50,08834;10 bis 12 Euro pro Quadratmeter
Von privat. Helle Zweizimmer-Wohnung in Wiesbaden-Biebrich, Straße der Republik;Straße der Republik 2, Biebrich, Wiesbaden;450;58;7,75862069;8,2409919;50,0422644;6 bis 8 Euro pro Quadratmeter
Möblierte, schöne, geräumige zwei Zimmer Altbau-Wohnung in Wiesbaden, Südost;Raabestraße 1, Südost, Wiesbaden;920;70;13,14285714;8,2312223;50,0720403;12 bis 15 Euro pro Quadratmeter
Rheinufernähe, große 6 Zimmer Wohnung auf zwei Etagen;Kastel, Wiesbaden;1500;190;7,894736842;8,2806368;50,0192814;6 bis 8 Euro pro Quadratmeter
Total renovierte Singlewohnung;Biebrich, Wiesbaden;505;44;11,47727273;8,2390966;50,0517113;10 bis 12 Euro pro Quadratmeter
Exclusive neu renovierte 2,5 Zimmer Wohnung am Kurpark;Bierstadt, Wiesbaden;1100;75;14,66666667;8,2772655;50,0852386;12 bis 15 Euro pro Quadratmeter
Helle und ruhig gelegene 2-Zimmer-Wohnung mit Balkon seitlich Otto-Suhr-Ring;Steinernstraße, Kostheim, Wiesbaden;490;49;10;8,2962553;50,013388;10 bis 12 Euro pro Quadratmeter
Helles Einzimmerappartement in Wiesbaden, Mitte;Frankenstraße, Mitte, Wiesbaden;350;34;10,29411765;8,2316406;50,0812587;10 bis 12 Euro pro Quadratmeter
